a11,a12,a21,a22,b11,b12,b21,b22,x1,x2,y1,y2
2.4,8.6,7.8,5.0,6.619559294949734,1.6,1.0,9.4,0.6259520015058336,0.37404799849416626,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.801659998308159,1.6,1.0,9.4,0.5059734990872012,0.49402650091279865,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.254273295180323,1.6,1.0,9.4,0.759887129230142,0.24011287076985777,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.354675189704483,1.6,1.0,9.4,0.5934435009932131,0.406556499006787,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.538316548607089,1.6,1.0,9.4,0.5476481055388588,0.45235189446114116,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.9034376014327226,1.6,1.0,9.4,0.8656725940876594,0.13432740591234066,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.1071041101398036,1.6,1.0,9.4,0.847876423485113,0.15212357651488695,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.7426356587008462,1.6,1.0,9.4,0.9833030853240745,0.01669691467592544,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.814849845727692,1.6,1.0,9.4,0.6169733853242533,0.38302661467574683,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.052375804388879,1.6,1.0,9.4,0.653575660083915,0.34642433991608496,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.7074455237593344,1.6,1.0,9.4,0.9873704129565962,0.012629587043403777,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.323150659604489,1.6,1.0,9.4,0.5947681365480271,0.40523186345197304,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.3675794702299955,1.6,1.0,9.4,0.5929029738390191,0.4070970261609808,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.8250351211680815,1.6,1.0,9.4,0.8727240881985051,0.1272759118014951,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.807412530909347,1.6,1.0,9.4,0.8743248999639796,0.12567510003602025,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.9511755871428418,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,0.1172602398708622,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,0.862116397483248,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,4.131542094376252,1.6,1.0,9.4,0.7684185751177222,0.23158142488227784,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.193763668619536,1.6,1.0,9.4,0.7003639751529994,0.2996360248470006,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.0891155219784,1.6,1.0,9.4,0.7065285878055126,0.29347141219448725,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.565273458400977,1.6,1.0,9.4,0.896930563459939,0.10306943654006098,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.317702775774445,1.6,1.0,9.4,0.5949976517719404,0.4050023482280596,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.22365481998733,1.6,1.0,9.4,0.6986228501866499,0.30137714981335006,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.738159880383649,1.6,1.0,9.4,0.5777897663193351,0.42221023368066496,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.8451648734935495,1.6,1.0,9.4,0.789090643482281,0.21090935651771892,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.634203945887004,1.6,1.0,9.4,0.5819510401468009,0.41804895985319906,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.012734155058203,1.6,1.0,9.4,0.7110970152835555,0.2889029847164446,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.886505805252059,1.6,1.0,9.4,0.967017139955305,0.032982860044694945,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.3038947153186715,1.6,1.0,9.4,0.7564913226718152,0.24350867732818487,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.14692620576286,1.6,1.0,9.4,0.7031097250728875,0.2968902749271124,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.379169515138606,1.6,1.0,9.4,0.6897021992804082,0.3102978007195917,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.334670157420689,1.6,1.0,9.4,0.5942834113882741,0.40571658861172594,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.7788260694610933,1.6,1.0,9.4,0.8769341816092278,0.1230658183907722,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.542936811248815,1.6,1.0,9.4,0.812148440360217,0.18785155963978312,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.8461421793265007,1.6,1.0,9.4,0.8708144503615943,0.12918554963840548,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.369557203979918,1.6,1.0,9.4,0.7520441362713042,0.24795586372869588,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.332585172132539,1.6,1.0,9.4,0.6396303461884164,0.3603696538115836,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.757372821041939,1.6,1.0,9.4,0.7268087765332389,0.273191223466761,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.561895362145794,1.6,1.0,9.4,0.8106625000950102,0.18933749990498983,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.220205285204061,1.6,1.0,9.4,0.6451511182811853,0.3548488817188147,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.035422098587841,1.6,1.0,9.4,0.8540558723154407,0.1459441276845594,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.546006525141218,1.6,1.0,9.4,0.5138869843885265,0.48611301561147324,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.996892390292132,1.6,1.0,9.4,0.5317501564524274,0.46824984354757265,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.435445481209241,1.6,1.0,9.4,0.5513458736969791,0.448654126303021,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.376985507891563,1.6,1.0,9.4,0.7515443223997329,0.248455677600267,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.101075130415012,1.6,1.0,9.4,0.5637177134188471,0.43628228658115287,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.921121666822251,1.6,1.0,9.4,0.6603191306555853,0.33968086934441455,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.8218902358268108,1.6,1.0,9.4,0.9742643167846439,0.025735683215356096,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.6422337564384355,1.6,1.0,9.4,0.8044255851695293,0.19557441483047075,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.5777013129640307,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,3.338433777355325,1.6,1.0,9.4,0.82853034151703,0.17146965848297,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.135776784299141,1.6,1.0,9.4,0.6493618543414833,0.3506381456585167,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.4978157484635204,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.900423447685819,1.6,1.0,9.4,0.6131197354647362,0.38688026453526364,0.4,0.6000000000000001
