a11,a12,a13,a21,a22,a23,a31,a32,a33,b11,b12,b13,b21,b22,b23,b31,b32,b33,x1,x2,x3,y1,y2,y3
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.5276514745345395,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2881401417256838,0.007115914964589634,0.7047439433097266,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.6044992834083351,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29103256370563524,0.005380461776618893,0.7035869745177459,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.761980035635339,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2971451143887142,0.0017129313667715,0.7011419542445143,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.1053850138146839,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27321952094298024,0.016068287434211972,0.7107121916228077,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.41971911171813536,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28417349221887994,0.009495904668672122,0.7063306031124479,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.037528338326857646,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27096475265280967,0.01742114840831431,0.7116140989388761,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.28376551941874495,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27932980222989107,0.01240211866206535,0.7082680791080436,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7024064245013029,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2948028334340514,0.0031182999395692025,0.7020788666263793,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.38664532461736734,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28297975791262353,0.010212145252425885,0.7068080968349506,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.00400020424932368,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2698643477615807,0.018081391343051603,0.7120542608953678,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.09330169519796483,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2728152696286003,0.016310838222839887,0.7108738921485599,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.6837289462175189,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2940760677890032,0.0035543593265980936,0.7023695728843987,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.43466185433214566,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28471613092316417,0.009170321446101528,0.7061135476307343,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.4517157735349209,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2853379737956397,0.008797215722616226,0.7058648104817441,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.00364021519909441,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2698525812915172,0.018088451225089817,0.712058967483393,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.8108746622676088,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29909551779380195,0.0005426893237188689,0.7003617928824791,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.07409593027493333,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.272175190549824,0.016694885670105578,0.7111299237800704,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.5780853362652849,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29003186022334876,0.005980883865990756,0.7039872559106605,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.30160771034069,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2799560412339736,0.012026375259615847,0.7080175835064105,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7311743050377073,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29592928436247434,0.002442429382515406,0.7016282862550103,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.17585486198731126,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27560118750511514,0.014639287496930895,0.7097595249979539,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.5784872973668653,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29004703712021035,0.005971777727873821,0.7039811851519159,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7011162787867442,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2947525166642449,0.0031484900014530394,0.702098993334302,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7400263054927436,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29627763214482744,0.0022334207131035535,0.701488947142069,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7137731608594544,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29524688927238124,0.002851866436571317,0.7019012442910475,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.6784380550576408,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29387084299776683,0.003677494201339994,0.7024516628008932,0.323733862959285,0.4831181727904667,0.19314796425024827
